"","id_plot","av_annual_pp","av_annual_mean_tp","av_annual_min_tp","av_annual_max_tp","int","t0","t1"
"1269",7303500501,966.5,3.735,-1.84,9.305,12,"M","M"
"1270",7303500502,966.5,3.725,-1.85,9.305,12,"C","C"
"1271",7303500602,1192.5,1.69,-3.97,7.35,9,"T","T"
"1272",7303500701,1146.5,2.07,-3.625,7.765,9,"M","C"
"1274",7303500801,947.5,3.765,-1.79,9.32,12,"T","T"
"1275",7303500901,985.5,3.31,-2.215,8.84,12,"C","C"
"1276",7303500902,994.5,3.185,-2.33,8.7,12,"M","M"
"1277",7303600101,976.5,3.08,-2.405,8.555,12,"M","T"
"1278",7303600302,958.5,3.265,-2.225,8.75,12,"C","C"
"1279",7303600401,965,3.085,-2.385,8.545,12,"C","C"
"1280",7303600402,964.5,3.075,-2.385,8.545,12,"C","C"
"1281",7309500101,998,2.92,-2.56,8.395,12,"M","C"
"1282",7309500102,1002,2.865,-2.61,8.335,12,"C","C"
"1283",7309500201,999,2.83,-2.635,8.285,12,"T","T"
"1284",7309500202,982,3.075,-2.41,8.555,12,"T","C"
"1285",7309500401,964,3.015,-2.44,8.47,12,"M","M"
"1286",7309500402,964,3.015,-2.435,8.47,12,"C","C"
"1287",7309500502,953.5,3.165,-2.3,8.635,12,"C","C"
"1289",7309600302,1025,1.265,-4.705,7.235,10,"D","D"
"1290",7309600402,1040.5,1.15,-4.855,7.15,10,"T","M"
"1291",7309600601,1047.5,1.095,-4.98,7.165,10,"T","M"
"1292",7309600602,1045.5,1.115,-4.96,7.195,10,"C","C"
"1293",7309600701,1011.5,1.35,-4.665,7.365,10,"C","C"
"1294",7309600702,1011.5,1.345,-4.67,7.36,10,"C","C"
"1295",7309600802,1042.5,0.975,-5.075,7.025,10,"M","M"
"1296",7309600902,1014.5,1.245,-4.78,7.275,10,"T","T"
"1297",7309601002,1002,1.305,-4.69,7.305,10,"C","C"
"1298",7309601101,972.5,3.695,-1.88,9.275,12,"C","C"
"1299",7309601102,992.5,3.415,-2.135,8.97,12,"C","C"
"1300",7309601201,1020,1.065,-4.955,7.08,10,"C","C"
"1301",7309601401,1028,0.9,-5.115,6.91,10,"C","C"
"1302",7309601501,1030,0.835,-5.2,6.87,10,"M","M"
"1303",7309601502,1030.5,0.84,-5.195,6.875,10,"C","C"
"1304",7309601601,1028.5,0.85,-5.175,6.875,10,"C","C"
"1305",7309601701,971.5,3.42,-2.11,8.955,12,"M","M"
"1306",7309601702,975,3.37,-2.16,8.895,12,"T","T"
"1307",7309601802,1023.5,0.785,-5.215,6.785,10,"C","C"
"1308",7309602002,978.5,3.335,-2.19,8.855,12,"C","C"
"1309",7309602201,950.5,3.58,-1.955,9.12,12,"C","C"
